,,,State,Turnout Rates,,,Numerators,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,
2008,49,44,Texas,,54.10%,45.50%,,8077795,14929810,"17,756,112",13.50%,"172,506","427,080","102,921","437,507","549,216"
2008,67,45,Utah,57.10%,56.00%,51.80%,"971,185",952370,1700286,"1,840,087",7.20%,"6,552",0,0,"6,552","31,783"
2008,6,46,Vermont,67.70%,67.30%,66.00%,"326,822",325046,482677,"492,610",2.00%,0,0,0,0,"10,546"
2008,40,47,Virginia,67.60%,67.00%,61.80%,"3,753,059",3723260,5555415,"6,022,123",6.60%,"38,276","53,614","4,471","67,319","124,689"
2008,73,48,Washington,67.30%,66.60%,60.30%,"3,071,587",3036878,4561163,"5,032,960",7.80%,"17,926","113,134","11,768","80,377","138,296"
2008,56,49,West Virginia,51.20%,49.90%,49.10%,"731,691",713362,1430439,"1,453,045",0.80%,"6,059","8,283","2,005","11,203","33,788"
2008,25,50,Wisconsin,72.70%,72.40%,69.30%,"2,997,086",2983417,4120694,"4,306,876",3.00%,"23,379","50,418","18,105","57,641","78,721"
2008,68,51,Wyoming,63.10%,62.80%,60.90%,"256,035",254658,405732,"418,040",1.70%,"2,084","5,438",727,"5,167","13,832"
2006,0,0,United States,41.30%,40.40%,37.20%,"85,769,132",83815592,207643594,"225,485,399",8.60%,"1,566,526","2,418,574","587,305","3,363,118","4,417,527"
2006,41,1,Alabama,,37.50%,35.90%,,1250401,3338467,"3,513,952",2.30%,"28,241","55,766","7,795","63,919",
2006,81,2,Alaska,51.20%,51.00%,47.80%,"238,307",237322,465169,"492,452",4.50%,"5,069","6,095",973,"9,090",
2006,61,3,Arizona,39.60%,38.90%,33.30%,"1,553,032",1526782,3923786,"4,490,327",12.60%,"35,892","73,265","6,213","78,738",
2006,42,4,Arkansas,38.90%,38.70%,36.40%,"780,409",774680,2004193,"2,130,080",3.30%,"13,729","31,508","16,666","46,149",
2006,71,5,California,41.20%,40.20%,32.20%,"8,899,059",8679416,21582217,"26,739,781",18.90%,"175,512",0,"111,744","287,256",
2006,62,6,Colorado,48.10%,47.30%,43.10%,"1,586,105",1558405,3297308,"3,569,901",8.00%,"22,481",0,"8,196","30,677",
2006,1,7,Connecticut,47.70%,46.60%,42.50%,"1,162,391",1134780,2437559,"2,683,538",7.90%,"20,566",0,"2,571","23,137",
2006,11,8,Delaware,42.90%,42.30%,39.00%,"258,053",254099,601341,"659,410",5.30%,"7,206","16,958",600,"16,285",
2006,55,9,District of Columbia,28.70%,28.30%,25.50%,"122,356",120620,426612,"466,827",9.70%,0,0,0,0,
2006,43,10,Florida,40.10%,39.60%,34.30%,"4,884,544",4829270,12187858,"14,211,669",11.80%,"92,969","272,977","4,785","234,243",
2006,44,11,Georgia,35.10%,34.70%,30.70%,"2,143,845",2122258,6115331,"6,799,654",7.40%,"52,792","422,790","22,851","287,038",
2006,82,12,Hawaii,38.40%,37.90%,34.60%,"348,988",344315,908925,"1,012,975",8.10%,"5,967",0,0,"5,967",
2006,63,13,Idaho,46.20%,45.40%,42.00%,"458,927",450832,993010,"1,072,895",4.40%,"7,124","48,609","2,482","33,911",
2006,21,14,Illinois,41.40%,40.20%,36.30%,"3,586,292",3486671,8667453,"9,483,856",9.20%,"45,106",0,0,"45,106",
2006,22,15,Indiana,37.70%,36.60%,35.20%,"1,719,351",1666922,4559294,"4,743,856",3.10%,"26,091",0,0,"26,091",
2006,31,16,Iowa,49.20%,48.10%,46.30%,"1,071,509",1048033,2178322,"2,267,991",2.80%,"8,875","22,622","3,560","23,746",
2006,32,17,Kansas,44.30%,43.60%,41.10%,"864,083",849700,1948850,"2,062,668",4.70%,"8,816","15,518","4,666","21,241",
2006,51,18,Kentucky,44.20%,40.40%,39.00%,"1,370,062",1253526,3100828,"3,218,000",1.90%,"20,000","41,162","10,162","50,743",
2006,45,19,Louisiana,31.40%,29.70%,28.30%,"954,896",902498,3043573,"3,239,317",2.00%,"37,012","38,057","24,072","80,113",
2006,2,20,Maine,,54.20%,53.30%,,550865,1016287,"1,037,200",1.70%,0,0,0,0,
2006,52,21,Maryland,47.20%,46.70%,42.20%,"1,809,237",1788316,3833349,"4,261,205",7.90%,"22,945","75,698","14,271","75,065",
2006,3,22,Massachusetts,49.30%,48.80%,44.40%,"2,243,835",2219779,4552794,"4,970,780",8.70%,"11,032",0,0,"11,032",
2006,23,23,Michigan,52.80%,52.10%,49.90%,"3,852,008",3801256,7292624,"7,532,918",3.60%,"51,577",0,0,"51,577",
2006,33,24,Minnesota,60.50%,60.10%,56.40%,"2,217,552",2202987,3667707,"3,896,561",4.20%,"9,108","127,289","4,007","76,760",
2006,46,25,Mississippi,,29.40%,28.50%,,610921,2077420,"2,154,112",1.30%,"21,068","24,107","1,970","35,092",
2006,34,26,Missouri,51.20%,50.00%,48.10%,"2,178,278",2128459,4253541,"4,427,266",2.20%,"30,167","54,963","18,374","76,023",
2006,64,27,Montana,57.10%,56.40%,55.60%,"411,061",406505,720447,"734,669",1.00%,"3,572",0,0,"3,572",
2006,35,28,Nebraska,48.80%,47.60%,45.10%,"610,499",596087,1251027,"1,325,932",4.30%,"4,407","18,731",662,"14,435",
2006,65,29,Nevada,37.10%,36.90%,31.10%,"586,274",582572,1579222,"1,907,976",14.40%,"12,901","13,208","3,518","23,023",
2006,4,30,New Hampshire,42.90%,41.40%,39.90%,"418,550",403531,975281,"1,006,234",3.40%,"2,805",0,0,"2,805",
2006,12,31,New Jersey,40.60%,39.50%,34.10%,"2,315,643",2250070,5701033,"6,565,183",12.00%,"27,371","132,636","13,874","107,563",
2006,66,32,New Mexico,43.10%,42.50%,38.60%,"568,597",561084,1320285,"1,464,560",8.00%,"6,639","16,493","2,831","17,717",
2006,13,33,New York,36.50%,34.90%,30.30%,"4,703,830",4490053,12878632,"14,665,626",12.40%,"63,315",0,"53,533","116,848",
2006,47,34,North Carolina,32.50%,31.00%,28.70%,"2,036,451",1940808,6264630,"6,799,585",5.80%,"37,460","110,419","3,101","95,771",
2006,36,35,North Dakota,45.40%,44.90%,44.10%,"220,479",218152,486142,"503,647",1.50%,"1,363",0,0,"1,363",
2006,24,36,Ohio,49.50%,47.50%,46.30%,"4,184,072",4022754,8461211,"8,687,609",2.20%,"49,166",0,0,"49,166",
2006,53,37,Oklahoma,,36.40%,34.30%,,926462,2547224,"2,709,819",3.90%,"26,243","27,415","4,329","44,280",
2006,72,38,Oregon,53.20%,52.50%,48.40%,"1,399,650",1379475,2628937,"2,829,482",7.30%,"13,707",0,0,"13,707",
2006,14,39,Pennsylvania,,44.10%,42.60%,,4096077,9283762,"9,680,466",3.00%,"44,397",0,0,"44,397",
2006,5,40,Rhode Island,52.10%,51.00%,46.70%,"392,882",384993,754219,"824,887",8.10%,"3,996",0,0,"3,996",
2006,48,41,South Carolina,35.40%,34.60%,33.10%,"1,117,311",1091952,3152046,"3,332,190",3.20%,"23,616","38,353","3,072","45,865",
2006,37,42,South Dakota,58.80%,57.80%,56.40%,"341,105",335508,580592,"589,178",1.40%,"3,359",0,"2,444","5,803",
2006,54,43,Tennessee,42.10%,41.40%,39.50%,"1,868,363",1833695,4433921,"4,641,909",3.10%,"25,745","52,558","8,630","60,654",
2006,49,44,Texas,,30.90%,25.80%,,4399068,14255313,"17,029,802",13.40%,"172,116","431,967","101,916","490,016",
2006,67,45,Utah,35.00%,34.30%,31.80%,"582,561",571252,1664323,"1,752,158",7.10%,"6,430",0,0,"6,430",
2006,6,46,Vermont,55.00%,54.90%,53.80%,"263,025",262726,478247,"487,141",2.00%,0,0,0,0,
2006,40,47,Virginia,44.50%,44.00%,40.60%,"2,398,589",2370445,5385522,"5,867,219",6.70%,"36,688","48,144","4,499","65,259",
2006,73,48,Washington,47.30%,47.30%,42.70%,"2,085,074",2083734,4403981,"4,861,001",8.00%,"17,561","108,076","11,568","83,167",
2006,56,49,West Virginia,33.80%,32.80%,32.30%,"473,014",459884,1401490,"1,439,052",0.70%,"5,733","7,668","1,416","10,983",
2006,25,50,Wisconsin,53.70%,53.20%,50.80%,"2,183,155",2161700,4064432,"4,240,696",2.90%,"23,431","55,806","15,907","67,241",
2006,68,51,Wyoming,51.80%,51.10%,49.40%,"196,217",193892,379127,"400,187",2.00%,"2,114","5,225",609,"5,336",
2004,0,0,United States,60.70%,60.10%,55.40%,"123,535,883",122294978,203483455,"220,336,019",8.20%,"1,490,169","2,387,283","474,632","3,158,443","3,862,836"
2004,41,1,Alabama,57.40%,57.20%,55.20%,"1,890,317",1883415,3292608,"3,427,542",1.90%,"26,521","36,795","7,745","52,664",
2004,81,2,Alaska,69.60%,69.10%,65.20%,"314,502",312598,452124,"476,378",4.00%,"4,515","5,547",951,"8,240",
2004,61,3,Arizona,54.80%,54.10%,47.00%,"2,038,069",2012585,3717055,"4,215,706",11.50%,"31,631","69,343","5,671","71,974",
2004,42,4,Arkansas,54.40%,53.60%,51.00%,"1,070,573",1054945,1969208,"2,072,986",2.80%,"13,477","29,128","14,844","42,885",
2004,71,5,California,59.60%,58.80%,47.10%,"12,589,367",12421852,21132533,"26,246,548",18.80%,"166,053",0,"110,261","276,314",
2004,62,6,Colorado,67.30%,66.70%,61.20%,"2,148,036",2129630,3192647,"3,443,164",7.50%,"19,756",0,"7,383","27,139",
2004,1,7,Connecticut,66.20%,65.00%,59.70%,"1,607,808",1578769,2429634,"2,652,587",7.30%,"20,018",0,"2,552","22,570",
2004,11,8,Delaware,64.50%,64.20%,59.40%,"377,407",375190,584817,"635,370",4.70%,"6,973","18,725",539,"16,875",
2004,55,9,District of Columbia,54.90%,54.30%,48.90%,"230,105",227586,419142,"458,758",10.00%,0,0,0,0,
2004,43,10,Florida,64.70%,64.40%,56.10%,"7,640,319",7609810,11811921,"13,643,828",11.20%,"84,733","281,170","4,888","230,206",
2004,44,11,Georgia,56.40%,56.20%,50.00%,"3,317,336",3301875,5878186,"6,499,325",6.80%,"48,625","419,350","23,344","281,644",
2004,82,12,Hawaii,48.50%,48.20%,44.10%,"431,662",429013,889540,"982,882",7.90%,"5,946",0,0,"5,946",
2004,63,13,Idaho,64.80%,63.20%,58.70%,"612,786",598376,946160,"1,016,255",4.10%,"6,312","44,580","2,370","30,972",
2004,21,14,Illinois,62.40%,61.50%,55.70%,"5,350,493",5274322,8576696,"9,391,420",9.00%,"44,379",0,0,"44,379",
2004,22,15,Indiana,55.80%,54.80%,53.00%,"2,512,142",2468002,4504260,"4,660,157",2.70%,"23,760",0,0,"23,760",
2004,31,16,Iowa,70.60%,69.90%,67.40%,"1,521,966",1506908,2156389,"2,239,979",2.60%,"8,611","22,832","3,317","23,344",
2004,32,17,Kansas,62.90%,61.60%,58.30%,"1,213,108",1187756,1928764,"2,032,763",4.30%,"9,152","14,309","4,525","20,832",
2004,51,18,Kentucky,59.40%,58.70%,56.90%,"1,816,867",1795860,3057741,"3,157,464",1.70%,"17,763","33,286","8,006","42,412",
2004,45,19,Louisiana,61.50%,61.10%,58.50%,"1,956,590",1943106,3182762,"3,379,937",1.80%,"36,745","38,470","24,387","80,367",
2004,2,20,Maine,74.90%,73.80%,72.60%,"751,519",740752,1003792,"1,022,043",1.60%,0,0,0,0,
2004,52,21,Maryland,63.10%,62.90%,57.20%,"2,395,791",2386705,3797264,"4,179,376",7.20%,"23,727","76,676","14,351","76,416",
2004,3,22,Massachusetts,64.60%,64.20%,58.70%,"2,927,455",2912388,4533859,"4,935,787",8.40%,"10,365",0,0,"10,365",
2004,23,23,Michigan,67.10%,66.60%,63.90%,"4,875,692",4839252,7263024,"7,508,568",3.40%,"48,591",0,0,"48,591",
2004,33,24,Minnesota,78.80%,78.40%,73.90%,"2,842,912",2828387,3609185,"3,819,020",3.90%,"8,613","114,226","3,872","69,598",
2004,46,25,Mississippi,,55.70%,54.20%,,1152365,2068766,"2,133,681",1.20%,"20,429","21,324","1,979","33,070",
2004,34,26,Missouri,66.10%,65.30%,62.90%,"2,764,635",2731364,4180960,"4,339,414",1.90%,"30,775","53,832","17,400","75,091",
2004,64,27,Montana,65.20%,64.40%,63.40%,"456,096",450445,699114,"711,858",1.00%,"3,800",0,0,"3,800",
2004,35,28,Nebraska,64.10%,62.90%,59.80%,"792,906",778186,1236522,"1,305,430",4.00%,"4,042","17,994",805,"13,844",
2004,65,29,Nevada,55.40%,55.30%,47.30%,"831,563",829587,1501437,"1,776,962",13.20%,"10,971","12,521","3,610","20,842",
2004,4,30,New Hampshire,71.50%,70.90%,68.40%,"683,672",677738,956422,"984,422",3.20%,"2,441",0,0,"2,441",
2004,12,31,New Jersey,64.20%,63.80%,55.20%,"3,638,153",3611691,5663201,"6,513,394",11.70%,"28,107","143,315","14,180","113,945",
2004,66,32,New Mexico,60.40%,59.00%,53.90%,"775,301",756304,1282767,"1,411,419",7.40%,"6,341","17,725","2,676","17,880",
2004,13,33,New York,58.50%,58.00%,50.20%,"7,448,266",7391249,12738056,"14,598,898",12.60%,"64,596",0,"54,524","119,120",
2004,47,34,North Carolina,58.70%,57.80%,53.90%,"3,552,449",3501007,6055771,"6,505,150",5.30%,"34,917","111,537","2,882","93,568",
2004,36,35,North Dakota,65.50%,64.80%,63.80%,"316,049",312833,482722,"496,479",1.30%,"1,266",0,0,"1,266",
2004,24,36,Ohio,67.90%,66.80%,65.10%,"5,722,443",5627908,8427696,"8,624,277",2.00%,"44,770",0,0,"44,770",
2004,53,37,Oklahoma,,58.30%,55.30%,,1463758,2510823,"2,649,994",3.40%,"24,767","28,435","4,329","43,314",
2004,72,38,Oregon,72.60%,72.00%,66.80%,"1,851,671",1836782,2550887,"2,736,472",6.80%,"13,219",0,0,"13,219",
2004,14,39,Pennsylvania,,62.60%,60.60%,,5769590,9221962,"9,554,349",2.70%,"40,692",0,0,"40,692",
2004,5,40,Rhode Island,58.90%,58.50%,52.90%,"440,228",437134,747046,"827,513",7.60%,"3,701","26,085",368,"17,112",
2004,48,41,South Carolina,53.20%,53.00%,50.70%,"1,626,720",1617730,3055098,"3,198,733",2.70%,"24,173","38,856","2,217","45,818",
2004,37,42,South Dakota,69.40%,68.20%,66.90%,"394,930",388215,569161,"576,472",1.40%,"3,101",0,0,"3,101",
2004,54,43,Tennessee,56.80%,56.30%,54.10%,"2,456,610",2437319,4328446,"4,496,929",2.60%,"25,834","47,392","8,410","57,940",
2004,49,44,Texas,,53.70%,45.40%,,7410765,13796256,"16,284,659",12.50%,"169,110","428,773","102,072","485,569",
2004,67,45,Utah,59.80%,58.90%,54.70%,"942,010",927844,1574463,"1,664,066",6.80%,"5,802",0,0,"5,802",
2004,6,46,Vermont,66.70%,66.30%,65.00%,"314,220",312309,470754,"480,053",2.10%,0,0,0,0,
2004,40,47,Virginia,61.10%,60.60%,56.20%,"3,223,156",3198367,5277156,"5,699,175",6.20%,"35,472","43,470","4,392","61,599",
2004,73,48,Washington,67.50%,66.90%,60.80%,"2,883,499",2859084,4272914,"4,683,829",7.40%,"16,559","125,222",120,"79,290",
2004,56,49,West Virginia,55.10%,54.10%,53.40%,"769,645",755887,1396545,"1,425,689",0.60%,"4,980","6,977","1,216","9,685",
2004,25,50,Wisconsin,75.30%,74.80%,71.60%,"3,016,288",2997007,4006948,"4,172,068",2.70%,"22,905","54,970","13,883","64,273",
2004,68,51,Wyoming,66.30%,65.70%,63.70%,"245,789",243428,370785,"386,796",1.70%,"1,923","4,418",563,"4,695",
2002,0,0,United States,40.50%,39.50%,36.30%,"80,295,249",78381943,198381939,"215,461,549",8.00%,"1,456,927","2,451,708","485,282","3,168,063","3,308,145"
2002,41,1,Alabama,,41.50%,40.40%,,1364602,3285643,"3,371,451",1.80%,"28,440","39,713","5,309","53,606",
2002,81,2,Alaska,54.50%,54.20%,51.00%,"232,852",231484,427337,"457,154",3.80%,"4,431","5,229",900,"7,946",
2002,61,3,Arizona,36.70%,35.90%,30.70%,"1,255,615",1226111,3419481,"3,998,148",11.10%,"30,741","66,485","4,587","68,571",
2002,42,4,Arkansas,41.70%,41.30%,39.70%,"814,176",805696,1951568,"2,031,787",2.60%,"12,378","27,377","12,128","38,195",
2002,71,5,California,37.30%,36.10%,29.00%,"7,738,821",7476351,20733192,"25,622,609",18.80%,"163,361",0,"113,185","276,546",
2002,62,6,Colorado,46.60%,46.30%,42.00%,"1,424,029",1416093,3056465,"3,362,098",7.20%,"19,085",0,"6,215","25,300",
2002,1,7,Connecticut,45.10%,42.30%,38.90%,"1,090,756",1022942,2418037,"2,617,814",7.10%,"20,525",0,"2,186","22,711",
2002,11,8,Delaware,,41.10%,37.90%,,232314,564938,"612,919",4.40%,"6,879","20,201",551,"17,531",
2002,55,9,District of Columbia,,30.10%,27.10%,,124228,412062,"458,631",10.00%,0,0,0,0,
2002,43,10,Florida,45.90%,45.60%,39.50%,"5,143,674",5100581,11194391,"13,005,435",10.90%,"80,352","291,315","5,223","231,233",
2002,44,11,Georgia,,35.40%,32.20%,,2031604,5731983,"6,287,215",6.50%,"47,004","367,349","20,822","251,501",
2002,82,12,Hawaii,44.20%,43.80%,40.20%,"385,462",382110,872992,"950,520",8.00%,"5,635",0,0,"5,635",
2002,63,13,Idaho,45.20%,44.70%,42.00%,"416,533",411477,921256,"970,916",4.00%,"5,825","31,361","1,961","23,467",
2002,21,14,Illinois,42.80%,41.40%,37.70%,"3,651,808",3538883,8540965,"9,302,571",8.90%,"43,186",0,0,"43,186",
2002,22,15,Indiana,34.80%,33.90%,33.30%,"1,562,037",1521353,4494191,"4,587,747",2.60%,"22,576",0,0,"22,576",
2002,31,16,Iowa,48.70%,47.90%,45.70%,"1,040,201",1023075,2136683,"2,214,936",2.50%,"8,395","19,970","2,787","21,167",
2002,32,17,Kansas,44.90%,44.00%,41.40%,"851,966",835692,1897261,"2,007,407",4.10%,"9,009","15,217","3,990","20,608",
2002,51,18,Kentucky,,37.20%,36.40%,,1131313,3044267,"3,100,972",1.70%,"16,377","24,480","5,968","34,585",
2002,45,19,Louisiana,40.10%,39.40%,37.80%,"1,267,225",1246333,3163663,"3,312,330",1.70%,"36,091","36,257","23,049","77,269",
2002,2,20,Maine,,50.80%,50.10%,,505190,995056,"1,001,796",1.60%,0,0,0,0,
2002,52,21,Maryland,46.80%,46.30%,41.60%,"1,721,626",1704560,3678346,"4,082,694",6.90%,"24,186","81,982","13,271","78,448",
2002,3,22,Massachusetts,49.80%,49.20%,44.40%,"2,220,301",2194189,4458820,"4,919,958",8.20%,"10,511",0,0,"10,511",
2002,23,23,Michigan,45.00%,44.50%,42.30%,"3,219,864",3177565,7147888,"7,445,335",3.40%,"49,524",0,0,"49,524",
2002,33,24,Minnesota,,64.10%,59.70%,,2254639,3518184,"3,745,577",3.80%,"7,612","122,692","3,577","72,535",
2002,46,25,Mississippi,,30.10%,29.20%,,615609,2047426,"2,099,698",1.10%,"20,542","16,633","1,816","30,675",
2002,34,26,Missouri,,45.60%,43.90%,,1877620,4116889,"4,262,146",1.90%,"30,649","54,584","13,533","71,474",
2002,64,27,Montana,49.70%,48.40%,47.70%,"340,272",331321,684572,"690,652",1.00%,"3,440",0,0,"3,440",
2002,35,28,Nebraska,,39.90%,37.30%,,480991,1204512,"1,285,024",3.80%,"4,103","16,468",574,"12,911",
2002,65,29,Nevada,36.80%,36.20%,31.10%,"512,433",504079,1391100,"1,640,679",12.70%,"10,527","12,290","3,971","20,643",
2002,4,30,New Hampshire,48.70%,48.10%,46.00%,"453,078",447135,930362,"960,401",3.00%,"2,483",0,0,"2,483",
2002,12,31,New Jersey,38.90%,38.10%,32.60%,"2,161,105",2112604,5549726,"6,448,445",11.50%,"28,213","134,290","12,576","107,934",
2002,66,32,New Mexico,40.00%,38.60%,35.70%,"502,230",484229,1255086,"1,360,130",7.00%,"6,173","16,287","1,962","16,279",
2002,13,33,New York,37.00%,36.10%,31.40%,"4,690,968",4579078,12679865,"14,504,792",12.60%,"65,914",0,"55,990","121,904",
2002,47,34,North Carolina,,39.70%,37.20%,,2331181,5876705,"6,314,679",5.00%,"33,334","112,900","2,805","92,589",
2002,36,35,North Dakota,49.80%,48.50%,47.60%,"237,224",231030,476251,"486,797",1.20%,"1,168",0,0,"1,168",
2002,24,36,Ohio,40.30%,38.80%,37.60%,"3,356,285",3228992,8322521,"8,556,557",1.90%,"45,831",0,0,"45,831",
2002,53,37,Oklahoma,,41.20%,39.60%,,1035620,2513143,"2,610,016",3.30%,"23,004","29,881","3,573","41,518",
2002,72,38,Oregon,51.80%,50.80%,47.20%,"1,293,756",1267221,2495739,"2,674,581",6.70%,"12,422",0,0,"12,422",
2002,14,39,Pennsylvania,,38.80%,37.30%,,3545431,9143001,"9,454,338",2.60%,"40,545",0,0,"40,545",
2002,5,40,Rhode Island,45.40%,44.70%,40.10%,"337,027",331834,741776,"819,310",7.40%,"3,569","25,914",384,"16,910",
2002,48,41,South Carolina,,36.90%,35.60%,,1102010,2982810,"3,100,548",2.60%,"24,247","41,574","3,491","48,525",
2002,37,42,South Dakota,61.20%,60.70%,59.70%,"340,407",337497,556154,"564,305",1.30%,"3,059",0,0,"3,059",
2002,54,43,Tennessee,,39.60%,37.30%,,1644741,4151834,"4,393,757",2.50%,"25,409","42,712","7,949","54,714",
2002,49,44,Texas,34.50%,34.20%,28.80%,"4,552,059",4514012,13181016,"15,718,593",12.10%,"164,222","434,486","103,068","484,533",
2002,67,45,Utah,37.80%,37.00%,35.00%,"568,290",557153,1504529,"1,601,707",6.50%,"5,594",0,0,"5,594",
2002,6,46,Vermont,49.40%,48.80%,48.10%,"232,993",230161,471403,"472,402",2.10%,0,0,0,0,
2002,40,47,Virginia,32.30%,29.00%,26.90%,"1,661,915",1489422,5138270,"5,536,511",6.00%,"34,733","40,359","4,530","59,443",
2002,73,48,Washington,43.50%,41.80%,37.90%,"1,808,720",1739116,4162032,"4,553,733",7.30%,"16,284","171,603",95,"102,181",
2002,56,49,West Virginia,31.50%,31.20%,30.80%,"440,156",436183,1398124,"1,413,580",0.60%,"4,703","6,430",999,"8,917",
2002,25,50,Wisconsin,,45.40%,43.20%,,1775349,3908088,"4,094,028",2.60%,"22,366","54,614","11,088","60,761",
2002,68,51,Wyoming,50.80%,50.10%,49.20%,"188,028",185459,370488,"376,121",1.60%,"1,809","4,596",570,"4,677",
2000,0,0,United States,55.30%,54.20%,50.00%,"107,390,107",105375486,194331436,"210,623,408",7.70%,"1,377,013","2,339,388","536,039","3,082,746","2,937,000"
2000,41,1,Alabama,,51.60%,50.10%,,1672551,3241682,"3,334,576",1.50%,"26,225","40,178","5,484","51,798",
2000,81,2,Alaska,68.70%,68.10%,65.00%,"287,825",285560,419111,"440,296",3.40%,"4,173","4,779",525,"7,088",
2000,61,3,Arizona,46.40%,45.60%,40.20%,"1,559,520",1532016,3357701,"3,816,498",10.30%,"26,510","59,810","3,474","59,889",
2000,42,4,Arkansas,,47.90%,46.00%,,921781,1925961,"2,001,774",2.30%,"11,915","28,409","8,659","34,779",
2000,71,5,California,56.60%,55.70%,44.10%,"11,142,843",10965849,19685258,"24,867,252",18.80%,"163,001",0,"117,647","280,648",
2000,62,6,Colorado,,57.50%,53.70%,,1741368,3026316,"3,246,521",6.70%,"16,833",0,"5,500","22,333",
2000,1,7,Connecticut,62.50%,61.90%,56.60%,"1,474,103",1459525,2357687,"2,575,243",6.60%,"18,355","47,636","1,868","44,041",
2000,11,8,Delaware,,59.00%,54.90%,,327529,554863,"594,256",3.90%,"6,921","20,052",579,"17,526",
2000,55,9,District of Columbia,,48.30%,43.90%,,201355,416696,"458,301",10.20%,"7,456",0,0,"7,456",
2000,43,10,Florida,57.50%,55.90%,47.90%,"6,138,765",5963110,10667193,"12,475,387",10.40%,"71,319","296,139","5,982","225,371",
2000,44,11,Georgia,47.60%,45.80%,42.40%,"2,684,951",2583208,5639668,"6,087,332",5.90%,"44,232","321,407","21,556","226,492",
2000,82,12,Hawaii,44.60%,44.20%,39.90%,"371,113",367951,832642,"923,737",8.10%,"5,053",0,0,"5,053",
2000,63,13,Idaho,58.90%,57.20%,53.50%,"516,647",501615,877406,"935,443",3.80%,"5,535","35,103","1,409","24,496",
2000,21,14,Illinois,58.50%,56.20%,51.40%,"4,932,192",4742123,8432600,"9,208,908",8.70%,"45,281",0,0,"45,281",
2000,22,15,Indiana,50.80%,49.30%,48.30%,"2,246,348",2182295,4424909,"4,527,523",2.30%,"20,125",0,0,"20,125",
2000,31,16,Iowa,,63.20%,59.60%,,1315563,2082950,"2,199,529",2.40%,"7,955","21,147","2,763","21,292",
2000,32,17,Kansas,56.70%,55.60%,54.00%,"1,092,716",1072216,1927950,"1,983,933",3.90%,"8,344",0,"3,829","12,173",
2000,51,18,Kentucky,53.10%,52.20%,50.40%,"1,568,058",1544107,2955628,"3,059,582",1.50%,"14,919","19,620","4,614","29,343",
2000,45,19,Louisiana,56.70%,56.40%,54.20%,"1,776,133",1765656,3130267,"3,260,060",1.60%,"35,207","35,854","22,860","75,994",
2000,2,20,Maine,,67.20%,66.40%,,651817,969292,"979,314",1.50%,0,0,0,0,
2000,52,21,Maryland,55.80%,55.50%,51.00%,"2,036,455",2025480,3649631,"3,972,224",6.40%,"23,538","81,523","13,666","77,966",
2000,3,22,Massachusetts,60.60%,59.90%,55.40%,"2,736,006",2704984,4517052,"4,870,470",8.00%,0,0,0,0,
2000,23,23,Michigan,60.50%,59.90%,57.30%,"4,279,299",4232501,7070702,"7,370,524",3.30%,"47,718",0,0,"47,718",
2000,33,24,Minnesota,70.10%,69.50%,66.40%,"2,458,303",2438657,3506432,"3,662,005",3.70%,"6,238","115,906","3,072","67,263",
2000,46,25,Mississippi,,49.10%,47.80%,,994184,2024650,"2,076,861",1.00%,"20,241","15,118","1,596","29,396",
2000,34,26,Missouri,,58.20%,56.20%,,2359892,4052255,"4,190,073",1.80%,"27,382","53,299","12,563","66,595",
2000,64,27,Montana,62.60%,61.60%,60.60%,"417,916",410986,667525,"676,065",0.90%,"3,105",0,0,"3,105",
2000,35,28,Nebraska,57.80%,56.90%,55.00%,"707,223",696983,1224178,"1,266,496",3.40%,"3,895","21,483",476,"15,113",
2000,65,29,Nevada,45.60%,45.20%,40.20%,"613,360",608970,1346116,"1,523,209",11.80%,"10,063","12,189","4,056","20,214",
2000,4,30,New Hampshire,65.00%,63.90%,60.70%,"578,656",569081,890622,"934,176",2.70%,"2,257",0,0,"2,257",
2000,12,31,New Jersey,58.80%,56.90%,50.10%,"3,293,378",3187226,5601788,"6,356,954",11.00%,"29,784","130,610","11,709","106,798",
2000,66,32,New Mexico,49.90%,48.50%,45.40%,"615,607",598605,1234088,"1,318,129",6.40%,"5,342","10,461","1,670","12,243",
2000,13,33,New York,56.20%,55.10%,47.50%,"6,960,215",6821999,12380208,"14,344,348",12.70%,"70,198",0,"57,858","128,056",
2000,47,34,North Carolina,52.50%,50.70%,47.50%,"3,015,964",2911262,5744241,"6,143,214",4.60%,"31,532","105,949","3,352","87,859",
2000,36,35,North Dakota,61.10%,60.30%,59.70%,"292,249",288256,477968,"482,078",1.20%,"1,076",0,0,"1,076",
2000,24,36,Ohio,57.80%,56.70%,55.40%,"4,795,989",4705457,8295592,"8,487,355",1.80%,"45,833",0,0,"45,833",
2000,53,37,Oklahoma,,49.90%,48.00%,,1234229,2475220,"2,568,304",2.90%,"23,181","30,969","1,825","40,491",
2000,72,38,Oregon,65.90%,64.90%,59.10%,"1,559,215",1533968,2364402,"2,595,354",6.40%,"10,580",0,0,"10,580",
2000,14,39,Pennsylvania,,54.10%,52.30%,,4912185,9086897,"9,375,146",2.40%,"36,847",0,0,"36,847",
2000,5,40,Rhode Island,54.70%,54.20%,50.70%,"412,074",408783,753877,"804,417",6.90%,"3,286","20,922",331,"14,078",
